PRODUCT,Bom Lines / Product,Bom Lines / Used For,Bom Lines / Quantity
,PINION SHAFT SM-03,,1
,PINION SHAFT SM-03 (Auma),,1
,PINION SHAFT SM-03 (Rotork),,1
,HANDWHEEL,,1
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 15,1
,BUSH,FOR 8 & 14,1
,BUSH,FOR 7 & 14,1
,BUSH,FOR 9 & 14,69/web/login
,BUSH,FOR 9 & 16,1
,BUSH,FOR 10 & 16,1
,TORQUE FUSE,,2
,BEARING,,2
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,1
,THRUST RACES,,1
,THRUST RACES,,2
,THRUST RACES,,2
,O RING,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HEX BOLT,FOR 1 & 2,12
,HEX BOLT,FOR 7 & 8,5
,HEX BOLT,FOR 9 & 10,6
,HEX BOLT,FOR 8 & 9,4
,SOC.HD.GRUB SCREW,,2
,EYE BOLT,,2
,ALLEN BOLT,FOR 1 & 7,4
,ALLEN BOLT,FOR 7 & 8,3
,ALLEN BOLT,FOR 9 & 10,4
,DOWEL PIN,FOR 7 & 8,2
,STOPPER STUD WITH NUT,,2
,HEX BOLT,FOR 16 & 19,1
,WASHER,FOR 49,1
,PARALLEL KEY,FOR 5 & 12,1
,PARALLEL KEY,FOR 11 & 15,1
,PARALLEL KEY,FOR 13 & 14,1
,PARALLEL KEY,FOR 16 & 19,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 19,1
SLT-460(2160)/F35,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,,2
,SGB HOUSING DT-09,,1
,SGB COVER  DT-09,,1
,SGB HOUSING SM-05,,1
,SGB COVER  SM-05,,1
,SPUR GEAR -I-DT-09,,1
,SPUR GEAR -II-DT-09,,1
,"SPUR GEAR , SM-05",,1
,PINION SHAFT-I-DT-09,,1
,PINION SHAFT-II-DT-09,,1
,PINION SHAFT SM-05,,1
,PINION SHAFT SM-05 (Auma),,1
,PINION SHAFT SM-05 (Rotork),,1
,HANDWHEEL,,1
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 15,1
,BUSH,FOR 8 & 14,1
,BUSH,FOR 7 & 14,1
,BUSH,FOR 9 & 14,1
,BUSH,FOR 9 & 16,1
,BUSH,FOR 10 & 16,1
,TORQUE FUSE,,2
,BEARING,,2
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,1
,THRUST RACES,,1
,THRUST RACES,,2
,THRUST RACES,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,1
,HARD WASHER,FOR 1 & 2,12
,HARD WASHER,FOR 7 & 8,5
,HARD WASHER,FOR 9 & 10,6
,HARD WASHER,FOR 8 & 9,4
,SOC.HD.GRUB SCREW,,2
,EYE BOLT,,2
,ALLEN BOLT,FOR 1 & 7,4
,ALLEN BOLT,FOR 7 & 8,3
,ALLEN BOLT,FOR 9 & 10,4
,DOWEL PIN,FOR 7 & 8,2
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 16 & 19,1
,WASHER,FOR 49,1
,PARALLEL KEY,FOR 5 & 12,1
,PARALLEL KEY,FOR 11 & 15,1
,PARALLEL KEY,FOR 13 & 14,1
,PARALLEL KEY,FOR 16 & 19,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 19,1
SLT-165(500)/F30,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SGB HOUSING ST-05,,1
,SGB COVER  ST-05,,1
,SGB HOUSING MX-02,,1
,SGB COVER MX-02,,1
,SPUR GEAR ST-05,,1
,SPUR GEAR MX-02,,1
,PINION SHAFT ST-05,,1
,PINION SHAFT MX-02,(MO),1
,PINION SHAFT MX-02,(EO),1
,HANDWHEEL,,1
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 13,1
,BUSH,FOR 8  & 13,1
,BUSH,FOR 9 & 13,1
,BUSH,FOR 9 & 14,1
,BUSH,FOR 10 & 14,1
,TORQUE FUSE,,2
,BEARING,,2
,NEEDLE ROLLER CAGE,,2
,THRUST RACES,,4
,CIRCLIP,,2
,CIRCLIP,,2
,CIRCLIP,,3
,HARD WASHER,FOR 1 & 2,10
,HARD WASHER,FOR 7 & 8,5
,HARD WASHER,FOR 1 & 7,4
,HARD WASHER,FOR 9 & 10,2
,SOC.HD.GRUB SCREW,,2
,ALLEN BOLT,FOR 8 & 9,3
,ALLEN BOLT,FOR 7 & 8,3
,ALLEN BOLT,FOR 9 & 10,3
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 14 & 15,1
,WASHER,FOR 38,1
,PARALLEL KEY,FOR 5 & 11,1
,PARALLEL KEY,FOR 12 & 13,1
,PARALLEL KEY,FOR 14 & 15,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 15,1
SLT-200(720)/F30,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,SPACER,,2
,SGB HOUSING DC-09,,1
,SGB COVER  DC-09,,1
,SGB HOUSING MX-02,,1
,SGB COVER  MX-02,,1
,SPUR GEAR -I-DC-09,,1
,SPUR GEAR -II-DC-09,,1
,"SPUR GEAR , MX-02",,1
,PINION SHAFT-I-DC-09,,1
,PINION SHAFT-II-DC-09,,1
,PINION SHAFT MX-02,(MO),1
,PINION SHAFT MX-02(EO),(EO),1
,HANDWHEEL,,1
,BUSH,FOR 5 & 8,1
,BUSH,FOR 8 & 16,1
,BUSH,FOR 9 & 16,1
,BUSH,FOR 9 & 15,1
,BUSH,FOR 10 & 15,1
,BUSH,FOR 10 & 17,1
,BUSH,FOR 11 & 17,1
,TORQUE FUSE,,2
,BEARING,,2
,BEARING,,1
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,1
,THRUST RACES,,3
,THRUST RACES,,1
,CIRCLIP,,2
,CIRCLIP,,1
,CIRCLIP,,3
,HARD WASHER,FOR 1 & 2,10
,HARD WASHER,FOR 8 & 9,8
,HARD WASHER,FOR 10 & 11,2
,SOC.HD.GRUB SCREW,,2
,EYE BOLT,,2
,ALLEN BOLT,FOR 1 & 8,4
,ALLEN BOLT,FOR 9 & 10,3
,ALLEN BOLT,FOR 10 & 11,3
,DOWEL PIN,FOR 8 & 9,2
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 17 & 19,1
,WASHER,FOR 47,1
,PARALLEL KEY,FOR 5 & 13,1
,PARALLEL KEY,FOR 12 & 16,1
,PARALLEL KEY,FOR 14 & 15,1
,PARALLEL KEY,FOR 17 & 19,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,,1
,WGB HOUSING,FOR 19,1
SLS-006/F40,WGB HOUSING,,1
,WGB COVER,,1
,QUADRANT,,1
,WORM,,1
,WORM SHAFT,,1
,COLLAR,,2
,SGB HOUSING DT-09,,1
,SGB COVER  DT-09,,1
,SGB HOUSING SM-03,,1
,SGB COVER  SM-03,,1
,SPUR GEAR -I-DT-09,,1
,SPUR GEAR -II-DT-09,,1
,SPUR GEAR SM-03,,1
,PINION SHAFT-I-DT-09,,1
,PINION SHAFT-II-DT-09,,1
,PINION SHAFT SM-03 (HW),,1
,PINION SHAFT SM-03 (Auma),,1
,PINION SHAFT SM-03 (Rotork),,1
,HANDWHEEL,,1
,BUSH,FOR 5 & 7,1
,BUSH,FOR 7 & 15,1
,BUSH,FOR 8 & 14,1
,BUSH,FOR 7 & 14,1
,BUSH,FOR 9 & 14,1
,BUSH,FOR 9 & 16,1
,BUSH,FOR 10 & 16,1
,BUSH,FOR 10 & 17,1
,TORQUE FUSE,,2
,BEARING,,2
,NEEDLE ROLLER CAGE,,2
,NEEDLE ROLLER CAGE,,1
,THRUST RACES,,1
,THRUST RACES,,2
,THRUST RACES,,2
,CIRCLIP,,2
,CIRCLIP,FOR 5,2
,CIRCLIP,FOR 14,2
,CIRCLIP,FOR 16,1
,HARD WASHER,FOR 1 & 2,14
,HARD WASHER,FOR 7 & 8,5
,HARD WASHER,FOR 9 & 10,6
,HARD WASHER,FOR 8 & 9,4
,SOC.HD.GRUB SCREW,,2
,EYE BOLT,,2
,ALLEN BOLT,FOR 1 & 7,4
,ALLEN BOLT,FOR 7 & 8,3
,ALLEN BOLT,FOR 9 & 10,4
,DOWEL PIN,FOR 7 & 8,2
,STOPPER STUD WITH NUT,,2
,HARD WASHER,FOR 16 & 19,1
,WASHER,FOR 50,1
,PARALLEL KEY,FOR 5 & 12,1
,PARALLEL KEY,FOR 11 & 15,1
,PARALLEL KEY,FOR 13 & 14,1
,PARALLEL KEY,FOR 16 & 19,1
,INDICATOR PLATE,FOR 3,1
,INDICATOR PLATE,FOR 19,1
